City,Population,Violent_crime,"Murder_and_nonnegligentmanslaughter",Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson,
Alma,"5,581",24,0,6,2,16,264,35,223,6,0,
Altus,731,3,0,1,0,2,14,4,10,0,0,
Arkadelphia,"10,637",53,0,6,7,40,294,77,210,7,0,
Ashdown,"4,453",8,0,2,2,4,144,29,102,13,1,
Ash Flat,"1,059",2,0,0,0,2,17,5,11,1,0,
Atkins,"3,055",19,1,4,2,12,89,18,68,3,0,
Augusta,"2,084",5,0,1,0,4,52,19,33,0,0,
Austin,"3,407",8,0,7,0,1,51,19,31,1,0,
Bald Knob,"2,890",8,0,1,3,4,88,15,71,2,4,
Barling,"4,725",29,1,3,1,24,113,16,89,8,0,
Bay,"1,794",3,0,1,0,2,14,5,7,2,0,
Bearden,904,0,0,0,0,0,34,14,19,1,1,
Beebe,"8,138",27,0,4,0,23,242,46,184,12,0,
Bella Vista,"27,970",72,1,25,1,45,216,37,171,8,4,
Benton,"34,356",131,1,15,18,97,"1,196",214,916,66,1,
Bentonville,"43,190",92,1,24,6,61,797,101,671,25,1,
Berryville,"5,394",15,0,8,1,6,225,76,138,11,1,
Bethel Heights,"2,497",3,0,1,0,2,44,10,31,3,0,
Blytheville,"14,717",280,6,13,78,183,"1,023",511,497,15,1,
Bono,"2,166",5,0,4,0,1,43,9,34,0,0,
Booneville,"3,924",18,0,6,2,10,143,28,113,2,1,
Bradford,755,2,0,0,0,2,21,4,16,1,1,
Brinkley,"2,909",35,0,3,6,26,128,37,87,4,5,
Brookland,"3,499",12,0,1,0,11,41,7,34,0,0,
Bryant,"20,404",16,0,9,7,0,875,230,610,35,2,
Bull Shoals,"1,951",2,0,0,0,2,20,10,9,1,1,
Cabot,"26,064",47,0,8,6,33,520,114,389,17,2,
Caddo Valley,606,2,0,0,0,2,40,9,30,1,1,
Camden,"11,423",117,0,6,11,100,501,149,339,13,4,
Cammack Village,750,0,0,0,0,0,12,4,8,0,0,
Caraway,"1,259",1,0,0,0,1,19,5,14,0,1,
Carlisle,"2,198",7,0,1,1,5,61,13,44,4,0,
Cave City,"1,860",4,0,1,0,3,22,3,17,2,0,
Cave Springs,"2,672",8,0,1,0,7,25,6,19,0,0,
Centerton,"11,635",36,0,13,1,22,90,9,76,5,0,
