County,Violent_crime,"Murder_and_nonnegligentmanslaughter",Rape,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Motor_vehicle_theft,Arson
Benton,95,2,26,2,65,663,328,300,35,3
Cleveland,10,0,2,1,7,71,30,38,3,2
Craighead,46,1,17,0,28,343,102,205,36,6
Crawford,89,2,14,0,73,422,99,268,55,0
Crittenden,128,7,8,20,93,338,129,180,29,2
Faulkner,122,1,27,3,91,"1,040",285,609,146,10
Garland,357,0,47,20,290,"1,723",831,763,129,0
Grant,47,0,4,0,43,206,65,123,18,0
Jefferson,82,1,13,6,62,405,159,200,46,6
Lincoln,16,0,1,0,15,76,29,38,9,0
Little River,11,0,3,0,8,71,27,36,8,0
Lonoke,104,1,13,8,82,456,87,274,95,2
Madison,22,0,4,1,17,73,35,32,6,2
Miller,27,1,11,1,14,315,118,159,38,0
Perry,46,0,2,1,43,150,36,114,0,0
Poinsett,6,0,4,0,2,1,1,0,0,0
Pulaski,375,5,24,27,319,"1,831",411,"1,190",230,9
Saline,158,2,28,4,124,837,255,467,115,6
Sebastian,62,0,15,2,45,313,104,190,19,5
Washington,188,3,18,0,167,564,185,329,50,5
Arkansas,10,0,0,3,7,129,42,73,14,2
Ashley,22,0,6,1,15,184,71,100,13,1
Baxter,57,0,13,1,43,682,84,551,47,2
Boone,179,0,36,2,141,310,97,184,29,1
Bradley,8,0,2,0,6,29,24,2,3,0
Calhoun,4,0,1,0,3,53,20,30,3,1
Carroll,41,2,7,0,32,17,1,11,5,1
Chicot,3,0,1,0,2,76,26,50,0,0
Clark,22,0,0,1,21,86,18,58,10,1
Clay,6,0,2,0,4,41,17,21,3,0
Cleburne,78,2,22,0,54,330,97,199,34,2
Columbia,27,2,1,0,24,53,28,23,2,2
Conway,21,0,10,0,11,285,53,203,29,7
Cross,26,0,3,1,22,121,35,74,12,9
Dallas,4,0,0,0,4,21,10,11,0,0
Drew,18,0,2,0,16,131,42,77,12,2
Franklin,52,0,8,0,44,267,100,149,18,3
Fulton,13,0,2,0,11,66,0,61,5,0
Greene,25,0,7,0,18,216,71,135,10,1
Hempstead,31,1,3,1,26,214,66,121,27,2
Hot Spring,44,1,6,2,35,226,75,116,35,3
Howard,10,0,0,0,10,44,32,12,0,0
Independence,152,2,15,1,134,479,160,269,50,20
Izard,34,0,12,0,22,245,69,158,18,7
Jackson,25,0,4,0,21,172,46,98,28,1
Johnson,29,2,6,2,19,180,110,50,20,3
Lawrence,10,0,1,1,8,71,26,40,5,2
Lee,9,0,0,0,9,73,26,39,8,0
Logan,46,2,7,2,35,280,100,156,24,3
Marion,51,0,9,1,41,288,77,198,13,7
Mississippi,42,1,10,2,29,303,98,173,32,3
Monroe,3,0,1,0,2,44,10,22,12,0
Newton,26,1,3,0,22,90,35,49,6,3
Ouachita,30,0,2,0,28,98,33,51,14,3
Pike,4,0,0,1,3,49,20,26,3,0
Polk,38,0,10,0,28,99,31,63,5,4
Pope,78,1,11,4,62,416,173,183,60,10
Prairie,4,0,1,0,3,42,11,28,3,0
Randolph,29,0,11,1,17,171,38,126,7,1
Scott,18,0,4,1,13,75,22,43,10,2
Searcy,11,0,3,0,8,56,21,32,3,0
Sevier,27,2,5,0,20,75,37,36,2,3
St. Francis,17,0,5,1,11,281,87,192,2,1
Stone,26,0,4,0,22,84,40,41,3,4
Union,49,0,2,6,41,298,113,165,20,0
Van Buren,39,1,3,0,35,219,29,162,28,1
White,158,1,39,2,116,827,230,493,104,3
Woodruff,0,0,0,0,0,45,9,28,8,0
Yell,32,3,3,1,25,225,77,120,28,3
,,,,,,,,,,
,,,,,,,,,,
